preço,marca,modelo,grupo,quilômetros,ano,idade do veículo em anos
129900,Dodge,Ram,1500 SLT Crew,47566,2021,3
319900,Alfa Romeo,Stelvio,Quadrifoglio,8914,2020,4
149900,Audi,Q5,S-line,72205,2019,5
79900,Alfa Romeo,GIULIETTA,Veloce,49193,2021,3
154900,GAC,GS8,GL,30,2024,0
209900,Land Rover,Range Rover,Vogue SE,99174,2017,7
61900,Hyundai,Creta,Base,52920,2022,2
139900,Volkswagen,Teramont,Trendline,20450,2022,2
359900,Alfa Romeo,Giulia,Quadrifoglio,100,2022,2
139900,GAC,GS8,GL,22693,2023,1
69900,Alfa Romeo,GIULIETTA,Veloce,65627,2019,5
199900,Alfa Romeo,Giulia,Veloce,21287,2022,2
374900,Alfa Romeo,Stelvio,Quadrifoglio,10906,2023,1
124900,Volvo,XC60,T5 R Design,77205,2019,5
146900,Toyota,Prado,Adventure,53078,2021,3
84900,Land Rover,Discovery Sport,HSE,74598,2017,7
129900,BMW,7-Series,730i Exclusive,109000,2017,7
73900,Audi,A3,Standard,74092,2019,5
199900,Nissan,Patrol,LE Platinum City,26706,2019,5
